batch_id,production_date,raw_material_supplier,pigment_type,pigment_quantity,mixing_time,mixing_speed,product_quality_score
187,2024-02-07,2,type_c,29.41166279,36.26,Low,5.054682932
188,2023-11-19,2,type_a,41.03007173,9.37,High,7.033249512
189,2023-09-17,1,type_b,41.39210118,41.58,High,9.123030073
190,2024-03-22,1,type_c,47.39392975,29.44,Low,8.897892877
191,2024-05-10,2,type_a,35.70688298,51.61,High,6.450066658
192,2024-07-25,2,type_a,33.39700566,42.17,High,5.034925087
193,2023-08-26,2,type_a,29.98887721,15.95,Low,5.060973666
194,2023-12-17,2,type_c,27.76354676,47.85,Medium,6.234478317
195,2023-12-04,1,type_a,37.69497514,47.65,High,6.32773935
196,2023-08-25,1,type_c,32.12316865,11.7,Low,8.353776793
197,2023-09-05,2,type_c,30.56398903,44.66,Low,6.169216816
198,2024-06-25,2,type_c,44.15926649,30.7,Medium,6.376977614
199,2023-11-29,2,type_a,41.58222255,35.08,High,6.294731259
200,2024-05-29,2,type_a,34.49130455,17.68,High,6.072390288
201,2024-08-01,1,type_c,42.78568206,33.63,High,8.448727726
202,2024-03-07,1,type_a,40.32646189,56.73,Low,7.855494649
203,2024-05-07,2,type_c,33.22738078,37.83,Medium,4.999315985
204,2023-09-19,2,type_b,34.21446507,46.43,High,8.046419262
205,2023-12-27,2,type_b,30.08305356,29.45,Low,5.300618686
206,2024-01-27,2,type_a,32.01351116,57.07,Medium,5.760501115
207,2024-05-07,1,type_a,45.82739552,22.15,High,7.811736864
208,2023-11-16,2,type_a,40.27257809,36.61,Medium,5.747558477
209,2024-07-24,2,type_b,30.29840186,55.67,Low,5.646094164
210,2024-01-14,2,type_c,34.37115684,43.75,Medium,6.87748056
211,2024-05-26,2,type_b,24.42861638,43.99,Medium,4.426351568
212,2024-05-26,2,type_c,26.31171558,48.87,High,7.379106887
213,2024-02-16,1,type_c,45.96747637,48.61,High,8.031621578
214,2023-09-24,2,type_b,37.06430127,56.76,Low,6.001104402
215,2024-05-01,2,type_b,38.26192578,51.58,High,5.215701673
216,2024-08-08,2,type_c,31.54424557,9.12,Low,7.270725295
217,2023-11-19,1,type_a,41.77933762,38.58,Medium,9.167006586
218,2024-05-28,2,type_b,41.62017622,41.03,Low,5.728390013
219,2024-06-23,1,type_b,43.46149794,17.45,-,5.834994498
220,2024-06-11,2,type_c,30.95777829,17.87,Medium,6.549991124
221,2023-09-07,2,type_a,41.53263714,58.1,Low,8.365109933
222,2024-03-02,1,type_c,44.87955654,62.12,-,8.549145631
223,2024-05-30,2,type_c,29.69635968,49.88,High,5.609816455
224,2023-11-01,2,type_c,28.21771119,32.45,Medium,6.486545786
225,2023-09-13,1,type_a,49.63221771,46.9,Low,8.906112833
226,2024-07-15,2,type_b,37.80201987,27.34,Medium,5.649144848
227,2023-09-21,1,Type_C,53.11940237,62.38,Low,9.239521341
228,2024-01-25,2,type_a,33.32600755,27.08,High,7.239911226
229,2024-05-16,2,type_b,39.4266017,46.5,Medium,6.656437734
230,2023-09-13,2,type_a,43.38224328,41.08,Low,5.589924519
231,2023-09-19,1,type_b,50.88388509,28.91,High,9.358517229
232,2023-08-20,2,type_c,33.15245408,47.81,Low,5.981482844
233,2024-07-22,1,type_b,39.95088718,21.9,Low,8.693216742
234,2024-04-28,1,type_b,47.40066078,51.36,Low,8.831552965
235,2024-02-07,1,type_b,48.70335282,10.73,High,8.531102518
236,2024-01-11,2,type_a,38.81491216,52.7,Medium,5.927390423
237,2024-06-18,1,type_b,33.38416867,48.63,Low,9.299362402
238,2023-09-23,2,type_a,29.95315441,10.39,High,4.891527587
239,2023-10-21,2,type_b,35.43700925,31.81,High,7.164617185
240,2024-08-05,1,type_b,45.69701239,57.02,High,7.737862242
241,2024-06-25,2,type_b,32.62230508,15.32,High,5.91507301
242,2024-06-26,2,type_a,32.19161104,42.68,Medium,5.410928841
243,2023-09-15,2,type_a,42.6675254,50.4,Low,6.914418152
244,2023-10-04,2,type_b,28.76364793,24.08,Low,4.896308856
245,2024-07-12,1,type_b,36.42745147,25.89,Medium,9.135171782
246,2024-06-07,2,type_b,36.74273199,25.71,-,6.814189726
247,2023-10-23,2,Type_C,30.54870515,23.4,Medium,4.908463534
248,2023-10-16,2,type_a,34.30851948,34.74,Low,4.501619824
249,2023-11-13,2,type_b,20.10262474,30.85,Low,4.49855875
250,2024-04-13,2,type_c,28.51606484,30.49,Medium,5.04187648
251,2023-10-16,2,type_a,31.87357323,29.98,High,5.867680669
252,2024-04-27,2,type_c,30.18336015,41.16,Low,6.338257438
253,2023-08-30,2,type_c,39.23640647,42.5,High,7.176443352
254,2024-02-05,2,type_a,35.32637832,31.84,Low,4.855398869
255,2024-06-24,2,type_b,28.05009405,17.71,Low,5.06976121
256,2023-09-06,2,Type_C,35.8416323,7.36,Low,8.328993695
257,2023-11-15,1,type_a,47.18219518,54.59,Medium,6.656568841
258,2023-11-02,2,type_c,47.76371604,38.88,Medium,6.245442591
259,2024-03-07,1,type_a,43.33847483,29.92,High,8.327205068
260,2024-03-17,2,type_c,34.52837367,38.51,Medium,6.129556719
261,2024-02-09,2,type_b,34.57844844,22.94,Low,4.356005118
262,2023-10-04,1,type_b,49.8033502,19.7,Low,10
263,2023-11-30,2,type_a,35.45430535,42.57,Medium,5.040808547
264,2024-03-12,2,type_c,36.32940898,21.37,Low,5.572720497
265,2024-05-04,2,type_a,33.89210387,55.75,Low,6.637187684
266,2024-02-01,1,type_a,46.28811644,22.92,Medium,6.108103564
267,2023-09-25,1,type_a,35.7026866,19.77,High,9.463997385
268,2024-01-07,2,type_b,32.98701294,50.79,Medium,5.844054892
269,2024-04-18,2,type_a,36.35303896,23.24,High,4.973432757
270,2024-06-12,2,type_c,35.5878528,22.5,High,5.106702832
271,2024-03-13,2,type_c,28.14103402,32.54,Medium,6.921440825
272,2023-12-07,1,type_c,42.90447993,14.94,High,5.932238178
273,2024-01-20,2,type_a,36.41469944,20.89,Medium,5.173329014
274,2024-01-23,2,type_b,29.73417142,56,Medium,5.374083865
275,2024-04-01,2,type_c,43.40318184,22.91,High,7.684148081
276,2023-10-03,2,type_a,37.50583014,41.47,Medium,6.039579714
277,2024-04-04,2,type_b,33.40269749,16.52,High,7.020492316
278,2023-11-20,2,type_c,42.24243725,31.68,Low,6.297559503
279,2023-09-20,2,type_b,32.00630657,50.33,Medium,5.667729843
280,2024-05-03,1,type_c,46.40300512,59.52,Medium,8.689188924
281,2024-06-13,2,type_a,34.22461058,34.1,High,5.235806341
282,2023-11-04,2,type_a,25.25817318,12.59,High,4.499955124
283,2024-01-14,1,type_c,43.0962578,18.28,High,7.707578232
284,2023-12-27,2,type_a,39.13245601,58.78,Low,7.009042764
285,2024-07-25,1,type_a,48.11947175,14.38,Low,8.380237094
286,2024-05-28,2,type_b,37.76322203,54.39,-,4.868577403
287,2024-06-23,2,type_b,40.70676984,49.34,High,7.85221389
288,2023-10-11,2,type_b,33.1762543,59.11,Low,5.298567765
289,2023-11-16,2,type_a,33.43022157,45.3,Low,6.992942555
290,2024-05-15,2,type_a,34.61223288,45.79,Low,7.445809648
291,2024-01-07,2,type_c,35.82541004,19.03,Low,6.947096465
292,2023-09-26,2,type_c,44.21696214,59.53,Medium,5.859165074
293,2024-06-02,2,type_c,40.56791235,20.31,Low,5.71745521
294,2023-12-25,2,type_a,33.97775985,26.35,Medium,6.890044356
295,2024-04-27,2,type_b,38.33395722,38.63,Medium,6.471372761
296,2024-01-19,2,type_c,35.17995728,20.13,Medium,4.591082927
297,2023-11-27,1,type_c,41.81894037,32.25,High,6.371793561
298,2023-12-16,1,type_b,51.74503805,14.26,Low,7.959530321
299,2023-11-14,2,type_b,29.72686967,13.09,Low,6.547871016
300,2024-05-27,1,type_c,49.56024082,47.93,High,8.95479942
301,2024-07-24,2,type_c,28.55565913,25.78,Medium,4.711691334
302,2024-06-01,2,type_c,37.09423928,50.48,Low,6.242102443
303,2023-12-22,2,type_a,32.75546945,32.92,Low,5.801555025
304,2024-06-08,2,type_c,37.23097383,26.57,High,5.245084754
305,2024-05-14,1,type_a,46.27461852,50.02,High,7.587327377
306,2023-09-26,1,type_b,51.1510213,35.03,Medium,8.69352831
307,2024-05-09,2,type_c,30.49147763,15.76,Medium,6.7129152
308,2023-08-17,2,type_a,33.72275545,22.8,Low,7.490980656
309,2024-01-04,2,Type_C,33.15008676,20.17,Medium,4.609070482
310,2024-04-17,2,type_a,38.89431138,45.63,Medium,6.696661429
311,2024-05-03,2,type_a,28.624338,37.36,High,6.652877032
312,2024-06-16,2,type_c,33.37419223,38.71,Medium,5.125642346
313,2024-03-26,1,type_c,45.03915401,40.22,High,9.451423463
314,2024-05-09,1,type_c,34.19828753,57.52,Medium,7.80129528
315,2024-07-03,2,type_b,31.05013525,28.95,Medium,7.124241686
316,2024-02-02,1,type_c,47.06161793,22.46,Low,8.830747494
317,2024-04-20,1,type_b,30.57290874,39.03,Low,6.907205497
318,2024-07-07,1,type_a,47.04252536,25.23,Low,7.048869687
319,2023-12-25,2,type_c,36.18177746,30.87,Medium,5.822667656
320,2024-03-13,2,type_c,33.02767087,44.65,High,7.189696119
321,2024-06-05,2,type_a,35.44940315,30.55,Low,4.673542409
322,2024-02-06,2,type_b,38.60307914,51.13,High,6.339285961
323,2023-09-20,2,type_a,30.21505904,47.73,Low,4.745320189
324,2023-10-29,2,type_a,30.30351875,52.4,High,7.423657908
325,2024-05-27,1,type_c,45.83983177,21.89,Medium,7.441620016
326,2023-11-27,1,type_b,52.43423907,22.99,Medium,9.330954751
327,2023-11-20,1,type_c,41.03504236,18.29,Low,7.881842031
328,2024-03-21,2,type_a,36.46701069,17.26,High,5.458053065
329,2024-06-11,1,type_b,37.24387547,47.01,Low,7.86942271
330,2024-03-11,2,type_c,34.36576539,13.85,Low,3.850802588
331,2024-02-06,1,type_a,41.95871499,40.12,High,7.532661245
332,2024-07-06,2,type_b,32.39183108,46.25,-,6.633738437
333,2024-05-18,1,type_c,49.23736619,27.49,Low,8.054003074
334,2024-06-02,2,type_b,34.94001867,55.24,High,6.896835596
335,2024-04-13,2,type_b,35.93162733,51.08,Medium,3.756618116
336,2024-03-10,1,type_c,43.63863296,32.86,Low,7.369881958
337,2023-08-15,2,type_b,34.52198812,52.39,Low,4.391784356
338,2024-08-01,2,type_c,36.54817646,34.31,Low,6.764435406
339,2024-04-08,2,type_c,36.5933476,57.16,Medium,7.653829952
340,2024-07-04,2,Type_C,34.84345313,41.72,High,5.831430131
341,2023-09-18,2,type_c,38.02486189,36.64,High,8.016909291
342,2024-05-16,2,type_a,40.12990244,50.67,Medium,6.357956307
343,2024-01-26,2,type_a,38.79519053,45.4,Medium,4.936136669
344,2024-01-24,2,type_c,34.93878921,31.92,High,7.537397734
345,2024-05-06,1,type_a,47.83697069,58.22,Medium,8.201599155
346,2024-03-07,2,type_c,31.17768194,35.5,Medium,6.402002749
347,2024-04-11,2,type_b,34.49936069,31.46,High,5.832522247
348,2023-08-30,2,type_a,38.29875959,33.79,Medium,6.79017196
349,2024-02-05,2,type_b,35.7237606,32.75,High,6.800700459
350,2024-05-13,2,type_a,41.3543387,40.6,High,5.6484451
351,2024-07-25,1,type_a,47.18870366,29.77,Medium,8.040031399
352,2023-11-13,1,type_a,49.21943394,31.48,Low,9.325093617
353,2024-03-09,1,type_c,43.09747192,21.25,Medium,6.749695457
354,2024-04-26,2,type_c,33.45669933,40.66,Low,5.469700421
355,2023-09-06,2,type_b,40.86619795,34.92,Low,7.046149027
356,2024-04-17,1,type_c,39.55569195,50.13,Low,7.682542985
357,2023-10-10,2,type_a,35.46245967,35.94,High,5.907735597
358,2024-06-07,1,type_c,41.70528285,31.78,Medium,7.68399635
359,2023-09-23,2,type_b,44.07922268,23.03,High,5.83304963
360,2024-03-18,1,type_b,42.37126975,56.85,Medium,9.423518188
361,2023-11-13,2,type_b,40.11620287,25.37,High,6.360984458
362,2024-01-31,2,type_b,31.74537402,22.59,Low,6.303855724
363,2023-08-15,1,type_a,38.95011016,62.26,Low,8.974839733
364,2023-12-23,2,type_a,28.21060814,44.01,Low,3.570166989
365,2024-06-22,2,type_b,38.12729902,52.02,Medium,6.847408766
366,2024-02-13,2,type_a,29.59243496,53.74,Low,6.570302737
367,2024-02-09,2,type_b,34.75314028,51.8,Low,5.875410031
368,2023-08-31,2,type_c,31.43912582,38.3,Low,5.129421233
369,2024-04-18,2,type_b,27.17894908,17.05,Low,5.692280269
370,2023-11-30,2,type_c,28.4455703,45.47,High,5.231971822
371,2024-05-03,2,type_b,44.96967089,45.93,Medium,6.072649144
372,2023-12-08,2,type_c,38.5757418,25.62,Medium,5.255793372
373,2024-05-24,2,type_b,33.96955556,56.67,Medium,5.794189209
374,2023-12-01,2,type_a,31.91073394,52.06,Low,6.12876285
375,2023-08-10,2,type_c,34.99578696,22.23,High,7.902738324
376,2023-08-27,1,type_b,47.44408773,35.8,Low,8.128273379
377,2023-12-16,2,type_b,42.25584082,33.19,Low,7.433042362
378,2024-01-09,1,type_c,48.95505838,60.48,Medium,5.642669921
379,2023-11-22,1,type_c,35.97084281,30.04,Medium,8.993959351
380,2023-09-14,1,type_b,45.50076197,20.39,Low,7.906641542
381,2023-12-19,2,type_b,34.93377047,10.38,High,4.470147294
382,2024-07-14,2,type_a,40.38119929,46.03,High,7.400043692
383,2024-04-03,2,type_a,32.71839701,46.11,Medium,5.705552104
384,2024-06-15,2,type_a,24.20518865,18.78,High,5.568906649
385,2023-12-02,2,type_b,32.99004088,48.87,Low,6.086440509
386,2023-12-07,2,type_c,42.48730983,53.72,Low,6.342421702
387,2023-08-10,1,type_b,45.10692986,54.05,High,7.555664117
388,2024-06-11,2,type_b,31.32652901,17.45,Low,6.475578377
389,2023-10-21,2,type_c,29.97713673,20.97,Low,5.713659143
390,2023-08-14,2,type_a,28.913943,37.35,Medium,6.935149787
391,2024-07-30,2,type_a,39.80816055,57.02,Medium,8.223100226
392,2024-02-10,2,type_a,29.7728001,34.93,High,3.932032762
393,2024-02-02,1,type_a,47.06533279,14.14,Low,7.823207741
394,2023-10-14,1,type_c,45.48024269,21,High,8.24809507
395,2024-07-29,2,type_b,34.85121785,45.94,Low,6.592139859
396,2023-12-02,1,type_a,54.52653551,51.44,Low,7.158422072
397,2023-12-20,2,type_c,39.51597936,43.07,High,7.020449502
398,2023-11-02,2,Type_C,27.38563415,18,Medium,5.692912709
399,2023-09-25,1,Type_C,55.03988087,22.77,High,7.841855634
400,2023-11-20,1,type_a,47.15209142,37.67,High,9.144910882
401,2024-01-09,2,type_b,41.19486625,40.91,Low,4.752769732
402,2024-01-28,1,type_c,49.19678128,50.13,High,9.904216902
403,2023-12-09,1,type_a,53.24887368,29.88,Medium,9.245709045
404,2024-06-26,1,type_b,37.55002153,46.21,High,6.879514676
405,2023-10-11,2,type_a,35.38046526,8.91,Low,5.033303788
406,2023-12-27,2,type_b,30.97590882,44.09,Medium,6.828468906
407,2023-09-23,1,type_b,35.19467383,54.12,Medium,7.165654621
408,2024-07-05,2,type_c,44.62379304,11.98,Low,4.861831134
409,2024-06-12,2,type_b,34.84168171,12.65,High,5.638276204
