level_0,Store_ID,Dept,Weekly_Sales,IsHoliday,CPI,Unemployment,Month
79,1,87,39254.57,1,211.2421698,8.106,
80,1,4,35351.21,1,211.2421698,8.106,
82,1,7,18310.31,1,211.2421698,8.106,
85,1,14,18129.02,1,211.2421698,8.106,2.0
88,1,55,18892.81,1,211.2421698,8.106,2.0
89,1,11,21760.75,1,211.2421698,8.106,2.0
91,1,98,16309.73,1,211.2421698,8.106,2.0
92,1,32,14700.59,1,211.2421698,8.106,2.0
93,1,5,29620.81,1,211.2421698,8.106,2.0
94,1,9,16562.49,1,211.2421698,8.106,2.0
96,1,49,16139.05,1,211.2421698,8.106,2.0
97,1,80,16720.84,1,211.2421698,8.106,2.0
98,1,82,20949.36,1,211.2421698,8.106,2.0
99,1,93,70202.02,1,211.2421698,8.106,2.0
101,1,8,37334.83,1,211.2421698,8.106,2.0
102,1,81,30694.25,1,211.2421698,8.106,2.0
106,1,25,13268.75,1,211.2421698,8.106,2.0
107,1,94,62329.48,1,211.2421698,8.106,2.0
108,1,40,60828.25,1,211.2421698,8.106,2.0
109,1,26,10050.92,1,211.2421698,8.106,2.0
110,1,97,33874.47,1,211.2421698,8.106,2.0
113,1,38,94136.35,1,211.2421698,8.106,2.0
114,1,74,11857.96,1,211.2421698,8.106,2.0
116,1,10,31494.77,1,211.2421698,8.106,2.0
121,1,34,12852.83,1,211.2421698,8.106,2.0
122,1,22,14807.95,1,211.2421698,8.106,2.0
124,1,91,66937.0,1,211.2421698,8.106,2.0
129,1,95,111390.36,1,215.65816739181173,8.106,2.0
133,1,2,44682.74,1,211.2421698,8.106,2.0
136,1,90,79455.64,1,211.2421698,8.106,2.0
137,1,1,46039.49,1,211.2421698,8.106,2.0
139,1,16,11873.89,1,211.2421698,8.106,2.0
140,1,18,19006.5,1,211.2421698,8.106,2.0
142,1,67,17614.47,1,211.2421698,8.106,2.0
143,1,92,143081.42,1,211.2421698,8.106,2.0
144,1,72,79636.32,1,211.2421698,8.106,2.0
145,1,3,11523.47,0,211.2891429,8.106,2.0
146,1,93,62581.64,0,211.2891429,8.106,2.0
147,1,8,38717.6,0,211.2891429,8.106,2.0
148,1,7,19985.2,0,211.2891429,8.106,2.0
151,1,97,31585.78,0,211.2891429,8.106,2.0
152,1,13,37857.68,0,211.2891429,8.106,2.0
155,1,79,34141.62,0,211.2891429,8.106,2.0
156,1,80,15918.98,0,211.2891429,8.106,2.0
157,1,98,12087.95,0,211.2891429,8.106,2.0
159,1,25,10271.25,0,211.2891429,8.106,2.0
161,1,87,33593.8,0,211.2891429,8.106,2.0
164,1,17,13485.61,0,211.2891429,8.106,2.0
167,1,38,98672.59,0,211.2891429,8.106,2.0
169,1,74,13917.2,0,211.2891429,8.106,2.0
170,1,5,26468.27,0,211.2891429,8.106,2.0
171,1,81,28784.91,0,211.2891429,8.106,2.0
173,1,4,36826.95,0,211.2891429,8.106,2.0
174,1,32,20275.45,0,211.2891429,8.106,2.0
175,1,14,17491.36,0,211.2891429,8.106,2.0
176,1,9,15880.85,0,211.2891429,8.106,2.0
183,1,55,17404.53,0,211.2891429,8.106,2.0
184,1,16,13855.54,0,211.2891429,8.106,2.0
186,1,2,47928.89,0,211.2891429,8.106,2.0
187,1,18,17623.72,0,211.2891429,8.106,2.0
189,1,94,72212.32,0,211.2891429,8.106,2.0
190,1,40,68569.53,0,211.2891429,8.106,2.0
191,1,49,16736.17,0,211.2891429,8.106,2.0
192,1,1,41595.55,0,211.2891429,8.106,2.0
193,1,11,18706.21,0,211.2891429,8.106,2.0
194,1,82,20195.2,0,211.2891429,8.106,2.0
197,1,46,22414.94,0,211.2891429,8.106,2.0
199,1,10,29634.13,0,211.2891429,8.106,2.0
203,1,34,13006.5,0,211.2891429,8.106,2.0
204,1,26,10547.6,0,211.2891429,8.106,2.0
205,1,72,72377.79,0,211.2891429,8.106,2.0
206,1,23,21381.85,0,211.2891429,8.106,2.0
207,1,91,63011.44,0,211.2891429,8.106,2.0
208,1,22,12290.16,0,211.2891429,8.106,2.0
210,1,90,76091.36,0,211.2891429,8.106,2.0
211,1,95,107952.07,0,211.2891429,8.106,2.0
212,1,92,135066.75,0,211.2891429,8.106,2.0
215,1,67,16411.69,0,211.2891429,8.106,2.0
218,1,79,33309.85,0,211.3196429,8.106,2.0
219,1,49,16245.13,0,211.3196429,8.106,2.0
220,1,98,10871.74,0,211.3196429,8.106,2.0
221,1,8,35318.2,0,211.3196429,8.106,2.0
223,1,17,10667.06,0,211.3196429,8.106,2.0
224,1,3,11135.17,0,211.3196429,8.106,2.0
225,1,93,57630.02,0,211.3196429,8.106,2.0
228,1,55,16708.1,0,211.3196429,8.106,2.0
236,1,34,12005.0,0,211.3196429,8.106,2.0
237,1,13,37467.32,0,211.3196429,8.106,2.0
238,1,5,24101.89,0,211.3196429,8.106,2.0
239,1,38,92755.59,0,211.3196429,8.106,2.0
240,1,74,13330.89,0,211.3196429,8.106,2.0
241,1,2,44292.87,0,211.3196429,8.106,2.0
242,1,4,34660.16,0,211.3196429,8.106,2.0
243,1,25,10218.67,0,211.3196429,8.106,2.0
244,1,7,17224.22,0,211.3196429,8.106,2.0
245,1,40,64328.29,0,211.3196429,8.106,2.0
246,1,97,28457.31,0,211.3196429,8.106,2.0
251,1,23,17798.37,0,211.3196429,8.106,2.0
252,1,82,19023.33,0,211.3196429,8.106,2.0
254,1,16,12881.02,0,211.3196429,8.106,2.0
258,1,87,32299.49,0,211.3196429,8.106,2.0
261,1,11,17306.61,0,211.3196429,8.106,2.0
263,1,10,27921.96,0,211.3196429,8.106,2.0
267,1,94,55501.07,0,211.3196429,8.106,2.0
269,1,80,15673.94,0,211.3196429,8.106,2.0
270,1,9,15175.52,0,211.3196429,8.106,2.0
271,1,91,57335.17,0,211.3196429,8.106,2.0
273,1,1,19403.54,0,211.3196429,8.106,2.0
275,1,14,16118.26,0,211.3196429,8.106,2.0
276,1,95,103652.58,0,211.3196429,8.106,2.0
277,1,46,18099.75,0,211.3196429,8.106,2.0
278,1,81,28213.79,0,211.3196429,8.106,2.0
279,1,72,55590.73,0,211.3196429,8.106,2.0
282,1,90,71718.48,0,211.3196429,8.106,2.0
288,1,92,125048.08,0,211.3196429,8.106,2.0
291,1,8,38776.09,0,211.3501429,8.106,3.0
292,1,79,42931.77,0,211.3501429,8.106,3.0
295,1,98,10903.65,0,211.3501429,8.106,3.0
296,1,3,12275.58,0,211.3501429,8.106,3.0
297,1,25,10345.5,0,211.3501429,8.106,3.0
300,1,5,23082.14,0,211.3501429,8.106,3.0
301,1,82,19974.91,0,211.3501429,8.106,3.0
306,1,7,19659.7,0,211.3501429,8.106,3.0
308,1,93,63550.08,0,211.3501429,8.106,3.0
309,1,16,17129.81,0,211.3501429,8.106,3.0
311,1,49,16445.28,0,211.3501429,8.106,3.0
313,1,1,21827.9,0,211.3501429,8.106,3.0
315,1,11,19082.9,0,211.3501429,8.106,3.0
318,1,38,108282.86,0,211.3501429,8.106,3.0
321,1,2,48397.98,0,211.3501429,8.106,3.0
322,1,10,33299.27,0,211.3501429,8.106,3.0
324,1,80,15680.71,0,211.3501429,8.106,3.0
325,1,97,31576.47,0,211.3501429,8.106,3.0
329,1,91,62755.71,0,211.3501429,8.106,3.0
331,1,23,18993.69,0,211.3501429,8.106,3.0
332,1,81,29957.47,0,211.3501429,8.106,3.0
334,1,95,112807.75,0,211.3501429,8.106,3.0
335,1,34,12571.5,0,211.3501429,8.106,3.0
336,1,4,38086.19,0,211.3501429,8.106,3.0
337,1,90,78081.85,0,211.3501429,8.106,3.0
338,1,17,12657.65,0,211.3501429,8.106,3.0
339,1,72,65525.74,0,211.3501429,8.106,3.0
340,1,14,18268.78,0,211.3501429,8.106,3.0
343,1,13,40423.95,0,211.3501429,8.106,3.0
344,1,40,67000.83,0,211.3501429,8.106,3.0
345,1,74,13824.33,0,211.3501429,8.106,3.0
347,1,9,24064.7,0,211.3501429,8.106,3.0
348,1,46,20565.45,0,211.3501429,8.106,3.0
351,1,12,10239.06,0,211.3501429,8.106,3.0
353,1,87,30800.98,0,211.3501429,8.106,3.0
355,1,55,16120.04,0,211.3501429,8.106,3.0
359,1,92,132945.44,0,211.3501429,8.106,3.0
362,1,94,59201.37,0,211.3501429,8.106,3.0
367,1,3,10123.45,0,211.3806429,8.106,3.0
368,1,25,10705.75,0,211.3806429,8.106,3.0
369,1,97,31197.12,0,211.3806429,8.106,3.0
371,1,4,32668.67,0,211.3806429,8.106,3.0
373,1,81,29272.13,0,211.3806429,8.106,3.0
374,1,2,43751.94,0,211.3806429,8.106,3.0
377,1,80,14708.62,0,211.3806429,8.106,3.0
380,1,7,21529.14,0,211.3806429,8.106,3.0
381,1,79,31669.24,0,211.3806429,8.106,3.0
384,1,1,21043.39,0,211.3806429,8.106,3.0
385,1,38,98175.35,0,211.3806429,8.106,3.0
387,1,5,21498.92,0,211.3806429,8.106,3.0
388,1,72,45046.81,0,211.3806429,8.106,3.0
390,1,16,23766.82,0,211.3806429,8.106,3.0
391,1,98,10819.46,0,211.3806429,8.106,3.0
392,1,95,112048.41,0,211.3806429,8.106,3.0
393,1,49,13267.5,0,211.3806429,8.106,3.0
394,1,82,18201.88,0,211.3806429,8.106,3.0
395,1,91,63668.62,0,211.3806429,8.106,3.0
400,1,55,14410.07,0,211.3806429,8.106,3.0
404,1,46,18114.67,0,211.3806429,8.106,3.0
405,1,17,12793.17,0,211.3806429,8.106,3.0
406,1,94,61326.35,0,211.3806429,8.106,3.0
408,1,14,15331.75,0,211.3806429,8.106,3.0
410,1,22,10372.48,0,211.3806429,8.106,3.0
412,1,11,17864.32,0,211.3806429,8.106,3.0
413,1,93,63593.12,0,211.3806429,8.106,3.0
414,1,23,17426.63,0,211.3806429,8.106,3.0
415,1,9,25605.58,0,211.3806429,8.106,3.0
416,1,10,28208.0,0,211.3806429,8.106,3.0
419,1,8,34342.64,0,211.3806429,8.106,3.0
421,1,13,35833.07,0,211.3806429,8.106,3.0
422,1,92,124418.65,0,211.3806429,8.106,3.0
423,1,87,18911.79,0,211.3806429,8.106,3.0
425,1,40,59799.42,0,211.3806429,8.106,3.0
426,1,74,12253.4,0,211.3806429,8.106,3.0
430,1,12,12386.15,0,211.3806429,8.106,3.0
431,1,34,11709.0,0,211.3806429,8.106,3.0
434,1,90,73943.62,0,211.3806429,8.106,3.0
446,1,2,43615.49,0,211.215635,8.106,3.0
447,1,16,41742.21,0,211.215635,8.106,3.0
448,1,81,30287.91,0,211.215635,8.106,3.0
450,1,56,11836.32,0,211.215635,8.106,3.0
452,1,79,32604.49,0,211.215635,8.106,3.0
454,1,97,31733.15,0,211.215635,8.106,3.0
458,1,80,15871.19,0,211.215635,8.106,3.0
460,1,49,11201.0,0,211.215635,8.106,3.0
461,1,1,22136.64,0,211.215635,8.106,3.0
462,1,14,12738.78,0,211.215635,8.106,3.0
463,1,72,41069.55,0,211.215635,8.106,3.0
465,1,7,22711.59,0,211.215635,8.106,3.0
467,1,38,71165.72,0,211.215635,8.106,3.0
468,1,55,14590.87,0,211.215635,8.106,3.0
469,1,13,36807.21,0,211.215635,8.106,3.0
470,1,23,20132.03,0,211.215635,8.106,3.0
471,1,95,117716.13,0,211.215635,8.106,3.0
473,1,4,34118.11,0,211.215635,8.106,3.0
475,1,98,11323.78,0,211.215635,8.106,3.0
478,1,92,127434.37,0,211.215635,8.106,3.0
479,1,17,11097.8,0,211.215635,8.106,3.0
480,1,82,18348.98,0,211.215635,8.106,3.0
483,1,93,62781.44,0,211.215635,8.106,3.0
484,1,74,11792.55,0,211.215635,8.106,3.0
486,1,25,12213.5,0,211.215635,8.106,3.0
487,1,9,33367.99,0,211.215635,8.106,3.0
488,1,94,64718.53,0,211.215635,8.106,3.0
489,1,11,19738.42,0,211.215635,8.106,3.0
494,1,40,57384.35,0,211.215635,8.106,3.0
495,1,46,18317.46,0,211.215635,8.106,3.0
497,1,34,13394.0,0,211.215635,8.106,3.0
498,1,91,63250.87,0,211.215635,8.106,3.0
499,1,12,12917.55,0,211.215635,8.106,3.0
500,1,10,33731.81,0,211.215635,8.106,3.0
501,1,90,76760.92,0,211.215635,8.106,3.0
502,1,87,28002.01,0,211.215635,8.106,3.0
504,1,8,34188.52,0,211.215635,8.106,3.0
505,1,5,22632.57,0,211.215635,8.106,3.0
509,1,79,29223.39,0,211.0180424,8.106,3.0
510,1,4,33872.07,0,211.0180424,8.106,3.0
512,1,55,11836.92,0,211.0180424,8.106,3.0
519,1,3,10366.85,0,211.0180424,8.106,3.0
520,1,97,30294.48,0,211.0180424,8.106,3.0
524,1,91,55614.69,0,211.0180424,8.106,3.0
525,1,16,26679.52,0,211.0180424,8.106,3.0
526,1,25,13876.5,0,211.0180424,8.106,3.0
527,1,2,41892.55,0,211.0180424,8.106,3.0
528,1,23,19105.92,0,211.0180424,8.106,3.0
529,1,1,26229.21,0,211.0180424,8.106,3.0
531,1,94,59159.95,0,211.0180424,8.106,3.0
532,1,49,11310.4,0,211.0180424,8.106,3.0
537,1,13,35431.73,0,211.0180424,8.106,3.0
539,1,95,113117.35,0,211.0180424,8.106,3.0
541,1,81,29871.06,0,211.0180424,8.106,3.0
542,1,80,14385.66,0,211.0180424,8.106,3.0
543,1,14,12832.47,0,211.0180424,8.106,3.0
545,1,9,27897.97,0,211.0180424,8.106,3.0
547,1,7,16254.21,0,211.0180424,8.106,3.0
549,1,11,17592.13,0,211.0180424,8.106,3.0
551,1,74,10604.88,0,211.0180424,8.106,3.0
552,1,98,10063.69,0,211.0180424,8.106,3.0
554,1,46,16803.77,0,211.0180424,8.106,3.0
556,1,5,38971.89,0,211.0180424,8.106,3.0
558,1,12,11865.53,0,211.0180424,8.106,3.0
559,1,72,40796.33,0,211.0180424,8.106,3.0
560,1,93,55082.4,0,211.0180424,8.106,3.0
561,1,40,57837.28,0,211.0180424,8.106,3.0
563,1,38,95855.41,0,211.0180424,8.106,3.0
565,1,10,31406.96,0,211.0180424,8.106,3.0
567,1,82,16479.16,0,211.0180424,8.106,3.0
569,1,92,116688.75,0,211.0180424,8.106,3.0
570,1,87,23926.34,0,211.0180424,8.106,3.0
573,1,8,24272.506712253282,0,211.0180424,8.106,3.0
574,1,85,24272.506712253282,0,211.0180424,8.106,3.0
575,1,6,24272.506712253282,0,211.0180424,8.106,3.0
576,1,32,24272.506712253282,0,211.0180424,8.106,3.0
578,1,90,71666.24,0,211.0180424,8.106,3.0
581,1,2,47450.5,0,210.8204499,7.808,4.0
584,1,55,13435.38,0,210.8204499,7.808,4.0
585,1,3,11157.08,0,210.8204499,7.808,4.0
586,1,7,22427.62,0,210.8204499,7.808,4.0
587,1,49,12755.33,0,210.8204499,7.808,4.0
590,1,79,40910.94,0,210.8204499,7.808,4.0
591,1,72,50079.67,0,210.8204499,7.808,4.0
595,1,13,38104.53,0,210.8204499,7.808,4.0
599,1,9,25435.02,0,210.8204499,7.808,4.0
600,1,16,46060.69,0,210.8204499,7.808,4.0
601,1,4,37809.49,0,210.8204499,7.808,4.0
602,1,80,14810.01,0,210.8204499,7.808,4.0
604,1,87,32893.64,0,210.8204499,7.808,4.0
605,1,74,10625.15,0,210.8204499,7.808,4.0
606,1,95,111466.37,0,210.8204499,7.808,4.0
607,1,18,17916.41,0,210.8204499,7.808,4.0
609,1,1,57258.43,0,210.8204499,7.808,4.0
610,1,56,13928.36,0,210.8204499,7.808,4.0
612,1,25,14964.5,0,210.8204499,7.808,4.0
613,1,12,12033.5,0,210.8204499,7.808,4.0
614,1,34,10282.66,0,210.8204499,7.808,4.0
616,1,97,30149.2,0,210.8204499,7.808,4.0
617,1,11,21762.46,0,210.8204499,7.808,4.0
618,1,93,63245.0,0,210.8204499,7.808,4.0
620,1,23,18666.57,0,210.8204499,7.808,4.0
623,1,14,14333.75,0,210.8204499,7.808,4.0
625,1,40,62278.04,0,210.8204499,7.808,4.0
627,1,92,126907.41,0,210.8204499,7.808,4.0
628,1,5,29967.92,0,210.8204499,7.808,4.0
631,1,91,57845.36,0,210.8204499,7.808,4.0
632,1,38,101566.87,0,210.8204499,7.808,4.0
635,1,8,38151.58,0,210.8204499,7.808,4.0
636,1,90,77280.42,0,210.8204499,7.808,4.0
637,1,94,66172.11,0,210.8204499,7.808,4.0
638,1,81,29649.34,0,210.8204499,7.808,4.0
639,1,10,31794.04,0,210.8204499,7.808,4.0
646,1,98,14740.14,0,210.8204499,7.808,4.0
647,1,46,19053.49,0,210.8204499,7.808,4.0
650,1,82,17695.89,0,210.8204499,7.808,4.0
654,1,79,37815.5,0,210.6228574,7.808,4.0
655,1,3,10179.29,0,210.6228574,7.808,4.0
658,1,16,52976.67,0,210.6228574,7.808,
662,1,34,13863.66,0,210.6228574,7.808,
663,1,74,10895.18,0,210.6228574,7.808,
664,1,1,42960.91,0,210.6228574,7.808,
665,1,9,26113.67,0,210.6228574,7.808,
666,1,13,37638.44,0,210.6228574,7.808,
667,1,92,129466.97,0,210.6228574,7.808,4.0
672,1,5,18516.45,0,210.6228574,7.808,4.0
673,1,38,98689.46,0,210.6228574,7.808,4.0
674,1,95,116770.82,0,210.6228574,7.808,4.0
675,1,2,46549.73,0,210.6228574,7.808,4.0
676,1,93,66795.56,0,210.6228574,7.808,4.0
677,1,14,12874.07,0,210.6228574,7.808,4.0
679,1,40,59141.39,0,210.6228574,7.808,4.0
680,1,87,29922.64,0,210.6228574,7.808,4.0
683,1,97,32544.27,0,210.6228574,7.808,4.0
685,1,80,16418.64,0,210.6228574,7.808,4.0
688,1,23,21678.02,0,210.6228574,7.808,4.0
691,1,94,69441.1,0,210.6228574,7.808,4.0
692,1,7,20516.64,0,210.6228574,7.808,4.0
693,1,72,43346.92,0,210.6228574,7.808,4.0
694,1,12,10109.0,0,210.6228574,7.808,4.0
696,1,81,30023.4,0,210.6228574,7.808,4.0
698,1,8,34145.96,0,210.6228574,7.808,4.0
701,1,55,11185.09,0,210.6228574,7.808,4.0
704,1,98,12217.58,0,210.6228574,7.808,4.0
705,1,25,12906.0,0,210.6228574,7.808,4.0
707,1,10,32486.28,0,210.6228574,7.808,4.0
712,1,11,22186.81,0,210.6228574,7.808,4.0
713,1,4,36174.43,0,210.6228574,7.808,4.0
714,1,91,60177.2,0,210.6228574,7.808,4.0
717,1,82,17678.66,0,210.6228574,7.808,4.0
718,1,90,75592.52,0,210.6228574,7.808,4.0
720,1,46,17682.48,0,210.6228574,7.808,4.0
724,1,56,13987.13,0,210.6228574,7.808,4.0
732,1,97,33866.82,0,210.4887,7.808,4.0
733,1,25,12360.85,0,210.4887,7.808,4.0
734,1,2,45025.02,0,210.4887,7.808,4.0
735,1,87,31171.25,0,210.4887,7.808,4.0
736,1,16,59543.22,0,210.4887,7.808,4.0
739,1,13,36663.26,0,210.4887,7.808,4.0
740,1,5,11570.27,0,210.4887,7.808,4.0
743,1,23,19811.02,0,210.4887,7.808,4.0
746,1,14,12309.14,0,210.4887,7.808,4.0
747,1,34,13632.64,0,210.4887,7.808,4.0
748,1,92,128626.08,0,210.4887,7.808,4.0
749,1,7,19330.26,0,210.4887,7.808,4.0
752,1,93,67716.6,0,210.4887,7.808,4.0
755,1,95,126341.84,0,210.4887,7.808,4.0
758,1,98,10791.63,0,210.4887,7.808,4.0
760,1,40,58400.17,0,210.4887,7.808,4.0
761,1,9,28782.86,0,210.4887,7.808,4.0
762,1,12,11187.99,0,210.4887,7.808,4.0
764,1,81,28518.47,0,210.4887,7.808,4.0
766,1,56,16347.63,0,210.4887,7.808,4.0
767,1,38,77602.0,0,210.4887,7.808,4.0
768,1,79,32135.69,0,210.4887,7.808,4.0
771,1,82,16566.09,0,210.4887,7.808,4.0
772,1,8,32890.54,0,210.4887,7.808,4.0
773,1,94,67420.53,0,210.4887,7.808,4.0
774,1,72,38711.22,0,210.4887,7.808,4.0
778,1,1,17596.96,0,210.4887,7.808,4.0
780,1,11,19991.95,0,210.4887,7.808,4.0
786,1,4,34740.19,0,210.4887,7.808,4.0
787,1,90,73155.28,0,210.4887,7.808,4.0
789,1,91,63631.89,0,210.4887,7.808,4.0
792,1,10,32134.61,0,210.4887,7.808,4.0
796,1,46,17394.72,0,210.4887,7.808,4.0
797,1,80,15583.62,0,210.4887,7.808,4.0
799,1,25,11295.45,0,210.4391228,7.808,4.0
801,1,49,12738.26,0,210.4391228,7.808,4.0
803,1,72,42222.53,0,210.4391228,7.808,4.0
804,1,95,110204.77,0,210.4391228,7.808,4.0
805,1,14,12749.37,0,210.4391228,7.808,4.0
806,1,34,12504.5,0,210.4391228,7.808,4.0
807,1,13,36058.1,0,210.4391228,7.808,4.0
809,1,2,44418.11,0,210.4391228,7.808,4.0
810,1,23,19377.76,0,210.4391228,7.808,4.0
811,1,98,10156.01,0,210.4391228,7.808,4.0
813,1,97,29464.0,0,210.4391228,7.808,4.0
816,1,7,18534.4,0,210.4391228,7.808,4.0
820,1,11,17349.9,0,210.4391228,7.808,4.0
821,1,87,30756.13,0,210.4391228,7.808,4.0
824,1,16,51604.72,0,210.4391228,7.808,4.0
827,1,94,60764.62,0,210.4391228,7.808,4.0
829,1,40,58623.36,0,210.4391228,7.808,4.0
830,1,12,11556.42,0,210.4391228,7.808,4.0
833,1,1,16145.35,0,210.4391228,7.808,4.0
834,1,93,55781.92,0,210.4391228,7.808,4.0
837,1,55,11082.83,0,210.4391228,7.808,4.0
839,1,82,16204.99,0,210.4391228,7.808,4.0
840,1,46,17825.26,0,210.4391228,7.808,4.0
842,1,9,24664.06,0,210.4391228,7.808,4.0
844,1,92,111703.46,0,210.4391228,7.808,4.0
845,1,5,24763.98,0,210.4391228,7.808,4.0
847,1,91,56051.87,0,210.4391228,7.808,4.0
849,1,79,28230.72,0,210.4391228,7.808,4.0
853,1,8,32946.13,0,210.4391228,7.808,4.0
857,1,81,27455.91,0,210.4391228,7.808,4.0
860,1,10,29091.15,0,210.4391228,7.808,4.0
861,1,4,33806.71,0,210.4391228,7.808,4.0
864,1,56,13262.63,0,210.4391228,7.808,4.0
866,1,90,68521.99,0,210.4391228,7.808,4.0
867,1,38,87205.88,0,210.4391228,7.808,4.0
868,1,80,14283.64,0,210.4391228,7.808,4.0
870,1,16,48858.08,0,210.3895456,7.808,4.0
874,1,1,16555.11,0,210.3895456,7.808,4.0
877,1,13,36717.2,0,210.3895456,7.808,4.0
880,1,9,24035.42,0,210.3895456,7.808,4.0
881,1,95,107648.14,0,210.3895456,7.808,4.0
882,1,25,11435.6,0,210.3895456,7.808,4.0
887,1,14,12172.32,0,210.3895456,7.808,4.0
888,1,87,31240.73,0,210.3895456,7.808,4.0
890,1,79,30450.45,0,210.3895456,7.808,4.0
891,1,23,18274.46,0,210.3895456,7.808,4.0
893,1,2,45971.3,0,210.3895456,7.808,4.0
894,1,55,11439.61,0,210.3895456,7.808,4.0
896,1,94,60744.62,0,210.3895456,7.808,4.0
898,1,72,38131.53,0,210.3895456,7.808,4.0
899,1,12,10651.84,0,210.3895456,7.808,4.0
900,1,34,10679.49,0,210.3895456,7.808,4.0
903,1,74,10712.5,0,210.3895456,7.808,4.0
908,1,8,34168.23,0,210.3895456,7.808,4.0
909,1,40,57805.71,0,210.3895456,7.808,4.0
912,1,7,22723.48,0,210.3895456,7.808,4.0
914,1,11,20001.75,0,210.3895456,7.808,4.0
915,1,93,55901.42,0,210.3895456,7.808,4.0
916,1,38,127811.89,0,210.3895456,7.808,4.0
917,1,97,29095.46,0,210.3895456,7.808,4.0
921,1,56,10546.89,0,210.3895456,7.808,4.0
923,1,4,33437.8,0,210.3895456,7.808,4.0
927,1,92,109579.6,0,210.3895456,7.808,4.0
930,1,5,22006.41,0,210.3895456,7.808,4.0
931,1,91,55068.72,0,210.3895456,7.808,4.0
932,1,10,30666.59,0,210.3895456,7.808,4.0
934,1,80,13879.7,0,210.3895456,7.808,4.0
937,1,81,28836.25,0,210.3895456,7.808,4.0
938,1,90,67584.03,0,210.3895456,7.808,4.0
939,1,82,17115.38,0,210.3895456,7.808,4.0
940,1,46,18120.31,0,210.3895456,7.808,4.0
941,1,13,40113.4,0,210.3399684,7.808,5.0
942,1,1,17413.94,0,210.3399684,7.808,5.0
944,1,9,27588.34,0,210.3399684,7.808,5.0
945,1,14,14460.84,0,210.3399684,7.808,5.0
950,1,95,125592.28,0,210.3399684,7.808,5.0
951,1,16,52933.2,0,210.3399684,7.808,5.0
952,1,55,11062.66,0,210.3399684,7.808,5.0
954,1,94,67595.65,0,210.3399684,7.808,5.0
956,1,49,14878.8,0,210.3399684,7.808,5.0
957,1,93,70383.0,0,210.3399684,7.808,5.0
963,1,2,47903.01,0,210.3399684,7.808,5.0
964,1,10,32902.69,0,210.3399684,7.808,5.0
965,1,40,61099.85,0,210.3399684,7.808,5.0
967,1,87,41094.12,0,210.3399684,7.808,5.0
970,1,79,44039.92,0,210.3399684,7.808,5.0
972,1,23,22172.27,0,210.3399684,7.808,5.0
973,1,74,11805.33,0,210.3399684,7.808,5.0
975,1,4,37168.34,0,210.3399684,7.808,5.0
976,1,46,19219.2,0,210.3399684,7.808,5.0
977,1,90,76733.25,0,210.3399684,7.808,5.0
978,1,81,31614.83,0,210.3399684,7.808,5.0
